label:               N/A                                               
model:               bmDCA                                             
input MSA:           data/DBD_alignment.uniref90.cov80.nodupl.fasta    
alphabet:            protein                                           
sampler:             gibbs                                             
nchains:             10000                                             
nsweeps:             10                                                
lr:                  0.01                                              
pseudo count:        0.0003374957813027337                             
data type:           float32                                           
target Pearson Cij:  0.95                                              
random seed:         0                                                 

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time      
1          0.002      0.000      -128.843   nan        1.000      128.914    1.000      2.190     
2          0.009      0.002      -128.801   nan        1.000      128.744    1.000      3.678     
3          0.014      0.002      -128.759   nan        1.000      128.952    1.000      3.993     
4          0.019      0.003      -128.718   nan        1.000      128.845    1.000      4.307     
5          0.012      0.002      -128.676   nan        0.999      128.801    1.000      4.617     
6          0.018      0.003      -128.635   nan        0.999      128.704    1.000      4.935     
7          0.019      0.003      -128.593   nan        0.999      128.857    1.000      5.248     
8          0.019      0.003      -128.551   nan        0.999      128.740    1.000      5.556     
9          0.030      0.005      -128.510   nan        0.999      128.516    1.000      5.864     
10         0.028      0.005      -128.469   nan        0.999      128.707    1.000      6.175     
11         0.037      0.006      -128.428   nan        0.999      128.614    1.000      6.483     
12         0.035      0.006      -128.387   nan        0.999      128.559    1.000      6.791     
13         0.033      0.006      -128.346   nan        0.999      128.435    1.000      7.100     
14         0.048      0.008      -128.305   nan        0.999      128.522    1.000      7.408     
15         0.040      0.007      -128.264   nan        0.999      128.494    1.000      7.715     
16         0.053      0.009      -128.223   nan        0.999      128.660    1.000      8.026     
17         0.045      0.008      -128.183   nan        0.998      128.655    1.000      8.334     
18         0.060      0.010      -128.142   nan        0.998      128.524    1.000      8.642     
19         0.055      0.009      -128.101   nan        0.998      128.405    1.000      8.950     
20         0.054      0.009      -128.060   nan        0.998      128.576    1.000      9.259     
21         0.069      0.012      -128.019   nan        0.998      128.661    1.000      9.567     
22         0.066      0.011      -127.979   nan        0.998      128.681    1.000      9.877     
23         0.062      0.011      -127.938   nan        0.998      128.428    1.000      10.187    
24         0.073      0.012      -127.897   nan        0.998      128.356    1.000      10.494    
25         0.078      0.013      -127.857   nan        0.998      128.440    1.000      10.806    
26         0.078      0.013      -127.816   nan        0.998      128.400    1.000      11.116    
27         0.076      0.013      -127.776   nan        0.998      128.346    1.000      11.425    
28         0.093      0.016      -127.735   nan        0.997      128.449    1.000      11.733    
29         0.098      0.017      -127.695   nan        0.997      128.431    1.000      12.041    
30         0.098      0.016      -127.655   nan        0.997      128.433    1.000      12.351    
31         0.093      0.016      -127.615   nan        0.997      128.386    1.000      12.659    
32         0.088      0.015      -127.574   nan        0.997      128.460    1.000      12.967    
33         0.110      0.019      -127.534   nan        0.997      128.291    1.000      13.275    
34         0.120      0.020      -127.494   nan        0.997      128.360    1.000      13.584    
35         0.109      0.019      -127.455   nan        0.997      128.310    1.000      13.893    
36         0.115      0.020      -127.415   nan        0.997      128.120    1.000      14.202    
37         0.112      0.019      -127.375   nan        0.997      128.582    1.000      14.510    
38         0.105      0.018      -127.335   nan        0.997      128.306    1.000      14.818    
39         0.125      0.021      -127.295   nan        0.997      128.181    1.000      15.130    
40         0.121      0.021      -127.255   nan        0.997      128.361    1.000      15.438    
41         0.136      0.023      -127.216   nan        0.996      128.376    1.000      15.746    
42         0.129      0.022      -127.176   nan        0.996      128.108    1.000      16.055    
43         0.137      0.023      -127.136   nan        0.996      128.414    1.000      16.364    
44         0.143      0.025      -127.097   nan        0.996      128.181    1.000      16.672    
45         0.152      0.026      -127.057   nan        0.996      128.390    1.000      16.980    
46         0.150      0.026      -127.018   nan        0.996      128.181    1.000      17.288    
47         0.137      0.024      -126.978   nan        0.996      128.423    1.000      17.597    
48         0.148      0.025      -126.939   nan        0.996      128.236    1.000      17.905    
49         0.146      0.025      -126.899   nan        0.996      128.293    1.000      18.213    
50         0.145      0.025      -126.860   nan        0.996      128.210    1.000      18.522    
51         0.149      0.026      -126.821   nan        0.996      128.185    1.000      23.630    
52         0.158      0.027      -126.781   nan        0.996      128.328    1.000      23.859    
53         0.183      0.032      -126.742   nan        0.996      128.073    1.000      24.087    
54         0.169      0.029      -126.703   nan        0.995      128.150    1.000      24.315    
55         0.186      0.032      -126.664   nan        0.995      128.332    1.000      24.543    
56         0.177      0.031      -126.625   nan        0.995      128.177    1.000      24.771    
57         0.173      0.030      -126.586   nan        0.995      128.432    1.000      25.005    
58         0.190      0.033      -126.547   nan        0.995      128.312    1.000      25.234    
59         0.196      0.034      -126.508   nan        0.995      128.144    1.000      25.462    
60         0.186      0.032      -126.469   nan        0.995      128.097    1.000      25.690    
61         0.187      0.033      -126.430   nan        0.995      128.256    1.000      25.918    
62         0.203      0.035      -126.391   nan        0.995      128.125    1.000      26.148    
63         0.195      0.034      -126.353   nan        0.995      128.132    1.000      26.376    
64         0.197      0.035      -126.314   nan        0.995      128.096    1.000      26.604    
65         0.206      0.036      -126.275   nan        0.995      128.151    1.000      26.834    
66         0.219      0.039      -126.237   nan        0.995      128.266    1.000      27.062    
67         0.217      0.038      -126.198   nan        0.994      128.067    1.000      27.290    
68         0.223      0.039      -126.160   nan        0.994      128.094    1.000      27.519    
69         0.218      0.038      -126.121   nan        0.994      128.091    1.000      27.747    
70         0.229      0.040      -126.083   nan        0.994      128.115    1.000      27.975    
71         0.232      0.041      -126.045   nan        0.994      128.201    1.000      28.205    
72         0.226      0.040      -126.007   nan        0.994      128.107    1.000      28.433    
73         0.235      0.042      -125.968   nan        0.994      128.197    1.000      28.660    
74         0.233      0.041      -125.930   nan        0.994      128.086    1.000      28.890    
75         0.242      0.043      -125.891   nan        0.994      128.024    1.000      29.119    
76         0.245      0.044      -125.853   nan        0.994      128.150    1.000      29.351    
77         0.242      0.043      -125.815   nan        0.994      127.955    1.000      29.579    
78         0.265      0.048      -125.777   nan        0.994      127.988    1.000      29.809    
79         0.260      0.046      -125.739   nan        0.993      127.969    1.000      30.045    
80         0.257      0.046      -125.701   nan        0.993      128.006    1.000      30.275    
81         0.273      0.049      -125.664   nan        0.993      128.179    1.000      30.503    
82         0.256      0.046      -125.626   nan        0.993      128.041    1.000      30.732    
83         0.271      0.049      -125.588   nan        0.993      128.119    1.000      30.961    
84         0.263      0.047      -125.551   nan        0.993      128.050    1.000      31.190    
85         0.271      0.049      -125.513   nan        0.993      128.031    1.000      31.419    
86         0.285      0.052      -125.475   nan        0.993      127.918    1.000      31.646    
87         0.275      0.049      -125.438   nan        0.993      127.933    1.000      31.874    
88         0.282      0.051      -125.400   nan        0.993      128.075    1.000      32.102    
89         0.290      0.052      -125.363   nan        0.993      128.078    1.000      32.331    
90         0.293      0.054      -125.325   nan        0.992      127.952    1.000      32.560    
91         0.297      0.054      -125.288   nan        0.992      128.030    1.000      32.788    
92         0.287      0.052      -125.251   nan        0.992      128.014    1.000      33.017    
93         0.301      0.055      -125.213   nan        0.992      128.136    1.000      33.245    
94         0.303      0.056      -125.176   nan        0.992      128.003    1.000      33.473    
95         0.305      0.056      -125.139   nan        0.992      127.808    1.000      33.701    
96         0.327      0.061      -125.102   nan        0.992      128.017    1.000      33.930    
97         0.315      0.058      -125.065   nan        0.992      127.913    1.000      34.158    
98         0.312      0.058      -125.028   nan        0.992      128.135    1.000      34.386    
99         0.313      0.058      -124.991   nan        0.992      128.145    1.000      34.615    
100        0.320      0.059      -124.954   nan        0.992      127.967    1.000      34.846    
101        0.335      0.063      -124.918   nan        0.992      128.040    1.000      40.011    
102        0.328      0.061      -124.881   nan        0.991      128.094    1.000      40.239    
103        0.339      0.063      -124.844   nan        0.991      127.939    1.000      40.467    
104        0.338      0.063      -124.807   nan        0.991      127.871    1.000      40.703    
105        0.344      0.064      -124.771   nan        0.991      127.801    1.000      40.932    
106        0.337      0.063      -124.734   nan        0.991      128.124    1.000      41.161    
107        0.342      0.064      -124.697   nan        0.991      127.894    1.000      41.389    
108        0.350      0.066      -124.661   nan        0.991      127.856    1.000      41.619    
109        0.352      0.067      -124.624   nan        0.991      127.905    1.000      41.847    
110        0.354      0.067      -124.588   nan        0.991      127.791    1.000      42.076    
111        0.358      0.068      -124.551   nan        0.991      127.938    1.000      42.305    
112        0.356      0.067      -124.515   nan        0.991      127.829    1.000      42.533    
113        0.356      0.068      -124.479   nan        0.991      127.907    1.000      42.761    
114        0.366      0.070      -124.443   nan        0.990      127.834    1.000      42.990    
115        0.374      0.072      -124.407   nan        0.990      127.868    1.000      43.218    
116        0.365      0.070      -124.371   nan        0.990      127.884    1.000      43.446    
117        0.387      0.075      -124.334   nan        0.990      127.825    1.000      43.674    
118        0.393      0.077      -124.299   nan        0.990      127.894    1.000      43.903    
119        0.378      0.073      -124.263   nan        0.990      127.840    1.000      44.131    
120        0.397      0.078      -124.227   nan        0.990      127.827    1.000      44.360    
121        0.393      0.077      -124.191   nan        0.990      127.764    1.000      44.588    
122        0.409      0.081      -124.156   nan        0.990      127.717    1.000      44.817    
123        0.395      0.078      -124.120   nan        0.990      128.008    1.000      45.048    
124        0.408      0.081      -124.085   nan        0.990      127.775    1.000      45.277    
